subject	subject_group	mp_epochs_quantity_sqrt	mr_epochs_quantity_sqrt	mean_epochs_quantity_sqrt	pca_variance_lh	pca_variance_rh	mp_lh_pca_v1	mp_rh_pca_v1	mr_lh_pca_v1	mr_rh_pca_v1	mp_lh_pca_v2	mp_rh_pca_v2	mr_lh_pca_v2	mr_rh_pca_v2	mp_lh_mean_v1	mp_rh_mean_v1	mr_lh_mean_v1	mr_rh_mean_v1	mp_lh_mean_v2	mp_rh_mean_v2	mr_lh_mean_v2	mr_rh_mean_v2	mp_lh_mean_in_region_of_min_tmin_and_max_tmax	mp_lh_mean_in_region_of_average_tmin_and_average_tmax	mp_lh_pca_in_region_of_min_tmin_and_max_tmax	mp_lh_pca_in_region_of_average_tmin_and_average_tmax	sign_flips_quantity_lh	mp_rh_mean_in_region_of_min_tmin_and_max_tmax	mp_rh_mean_in_region_of_average_tmin_and_average_tmax	mp_rh_pca_in_region_of_min_tmin_and_max_tmax	mp_rh_pca_in_region_of_average_tmin_and_average_tmax	sign_flips_quantity_rh	mr_lh_mean_in_region_of_min_tmin_and_max_tmax	mr_lh_mean_in_region_of_average_tmin_and_average_tmax	mr_lh_pca_in_region_of_min_tmin_and_max_tmax	mr_lh_pca_in_region_of_average_tmin_and_average_tmax	mr_rh_mean_in_region_of_min_tmin_and_max_tmax	mr_rh_mean_in_region_of_average_tmin_and_average_tmax	mr_rh_pca_in_region_of_min_tmin_and_max_tmax	mr_rh_pca_in_region_of_average_tmin_and_average_tmax
K0059	td	16.3707055437449	16.24807680927192	16.309391176508413	0.829275369644165	0.9474599957466125																	-1.3938267379487586	-1.3232631214219448	-1.9013958	-1.8241714	0.0	-4.133479002954221	-3.995094276262645	-5.5296926	-5.289183	0.0	0.08882166714752175	-0.010693035021057494	-0.05397079	-0.20808797	-2.3371594959647073	-1.6951319780941383	-3.33708	-2.4684255
K0063	td	15.716233645501712	15.84297951775486	15.779606581628286	0.9475461840629578	0.8730577230453491																	-7.599672183974433	-7.994553238509227	-9.197414	-9.659602	0.0	-4.618678426921475	-4.647572416087842	-6.1818585	-6.3140182	0.0	-6.940124661086263	-7.304430231596296	-8.608186	-9.026877	-2.277338321872319	-1.9993939668004712	-4.4685044	-4.1750827
K0066	td	15.556349186104043	15.716233645501712	15.636291415802877	0.7802503705024719	0.9564143419265747																	-1.0102163833752638	-0.9630552759631623	-1.4191414	-1.3256025	0.0	-4.518538739747588	-4.699910099408061	-6.7721148	-7.00121	0.0	0.39317607323150155	0.4695879475475541	0.28568783	0.40662134	-3.0188291506370746	-2.891274261026372	-5.289621	-5.117504
K0067	td	15.231546211727816	15.132745950421556	15.182146081074686	0.9027276039123535	0.9033891558647156																	-3.346117190487991	-3.4903001513061476	-4.7158537	-4.916392	0.0	-4.271598531262197	-4.5883990096531635	-5.693767	-6.1217575	0.0	-1.8840028276206022	-1.8241501149125607	-2.7023978	-2.5824847	-3.8764744436026133	-4.097029390464719	-5.2956634	-5.6091423
K0069	td	15.0	15.066519173319364	15.033259586659682	0.9275414347648621	0.964742124080658																	-2.1339741839272155	-2.162373521493203	-3.050207	-3.1193812	0.0	-3.535880335822993	-3.7041990273171677	-4.097962	-4.2856965	0.0	-1.368928589865336	-1.3730375038608136	-2.3284972	-2.4200058	-2.7343029694538137	-2.524107832651515	-3.1531312	-2.9363925
K0070	td	15.066519173319364	15.1657508881031	15.11613503071123	0.9348369240760803	0.9499310255050659																	-4.097933926538786	-4.3334672938565495	-5.880554	-6.2637415	0.0	-5.388504809622172	-5.441917167961731	-6.6931314	-6.733097	0.0	-3.140528741378488	-3.213563419617097	-4.6524734	-4.84545	-3.6639341506269867	-3.6110342910667987	-4.6985846	-4.6167736
K0071	td	15.811388300841896	15.748015748023622	15.779702024432758	0.9675633311271667	0.962448000907898																	-3.9292256054113284	-3.9567162808568512	-5.245764	-5.352657	0.0	-8.552751538702951	-8.812592046770682	-9.667695	-9.940187	0.0	-2.9485181053356815	-2.922857489674373	-4.661411	-4.645592	-6.565954017065046	-6.252343232573395	-7.4148703	-7.0493293
K0072	td	15.652475842498529	15.620499351813308	15.636487597155918	0.9787553548812866	0.9555462002754211																	-4.2708914843616865	-4.33280242557852	-5.2327375	-5.301835	0.0	-3.8766369601849666	-3.8719848955120995	-5.3833942	-5.3718734	0.0	-3.276267511721134	-3.2857209836214705	-3.9144397	-3.919112	-2.1184108143085982	-1.9328959213718153	-3.0759594	-2.8461266
K0075	td	15.748015748023622	15.556349186104043	15.652182467063833	0.9515227675437927	0.9046835899353027																	-3.498653176065653	-3.231418704723687	-5.213636	-4.921052	0.0	-3.3408999615697725	-3.8126635193953793	-4.860284	-5.4163065	0.0	-1.3510047883886873	-0.824942563033033	-1.5127991	-0.9248264	-1.6332767490624382	-1.319734350884665	-2.8365088	-2.4531868
Z201	td	15.588457268119896	15.588457268119896	15.588457268119896	0.9383445978164673	0.9305511116981506																	-2.4898787263719644	-2.5373937931596067	-3.169815	-3.2338235	0.0	-3.930362472153228	-3.9596463885150555	-4.622236	-4.675783	0.0	-1.2533249308131502	-1.2992738779924249	-1.6976	-1.7222469	-3.4281722330520252	-3.2413680135435663	-4.295563	-4.057785
