subject	subject_group	rv_epochs_quantity_sqrt	mr_epochs_quantity_sqrt	mean_epochs_quantity_sqrt	pca_variance_lh	pca_variance_rh	rv_lh_pca_v1	rv_rh_pca_v1	mr_lh_pca_v1	mr_rh_pca_v1	rv_lh_pca_v2	rv_rh_pca_v2	mr_lh_pca_v2	mr_rh_pca_v2	rv_lh_mean_v1	rv_rh_mean_v1	mr_lh_mean_v1	mr_rh_mean_v1	rv_lh_mean_v2	rv_rh_mean_v2	mr_lh_mean_v2	mr_rh_mean_v2	rv_lh_mean_in_region_of_min_tmin_and_max_tmax	rv_lh_mean_in_region_of_average_tmin_and_average_tmax	rv_lh_pca_in_region_of_min_tmin_and_max_tmax	rv_lh_pca_in_region_of_average_tmin_and_average_tmax	sign_flips_quantity_lh	rv_rh_mean_in_region_of_min_tmin_and_max_tmax	rv_rh_mean_in_region_of_average_tmin_and_average_tmax	rv_rh_pca_in_region_of_min_tmin_and_max_tmax	rv_rh_pca_in_region_of_average_tmin_and_average_tmax	sign_flips_quantity_rh	mr_lh_mean_in_region_of_min_tmin_and_max_tmax	mr_lh_mean_in_region_of_average_tmin_and_average_tmax	mr_lh_pca_in_region_of_min_tmin_and_max_tmax	mr_lh_pca_in_region_of_average_tmin_and_average_tmax	mr_rh_mean_in_region_of_min_tmin_and_max_tmax	mr_rh_mean_in_region_of_average_tmin_and_average_tmax	mr_rh_pca_in_region_of_min_tmin_and_max_tmax	mr_rh_pca_in_region_of_average_tmin_and_average_tmax
K0059	td	15.84297951775486	16.24807680927192	16.04552816351339	0.7882447242736816	0.9505864381790161																	-0.7391443445791825	-0.435727337015873	-1.119017	-0.74481404	0.0	-1.6849082917415676	-1.1981260756199281	-1.8994234	-1.082486	0.0	-0.08126140693306726	0.1850670466618191	-0.17788479	0.18610336	-1.010163200027696	0.7484320379223419	-1.3249404	0.9454647
K0063	td	15.684387141358124	15.84297951775486	15.763683329556493	0.9417729377746582	0.8796579241752625																	-5.539097324573335	-6.164504462519628	-6.6812086	-7.4220567	0.0	-5.876252790348994	-5.766997774853989	-7.373663	-7.18961	0.0	-6.992654086966102	-6.905934071636235	-8.584171	-8.433168	-1.8558204411618482	-0.9897039704935209	-3.6611915	-2.691839
K0066	td	15.684387141358124	15.716233645501712	15.700310393429918	0.7363312840461731	0.9601508378982544																	-2.532598680166529	-2.2363242685754496	-3.4632392	-3.0634015	0.0	-4.328002010261209	-4.862488219491582	-6.6469116	-7.3031154	0.0	0.4912141962442305	0.8034066523027453	0.46368137	0.91052645	-2.8409613404978775	-2.4824897130123054	-4.899885	-4.313029
K0067	td	15.0996688705415	15.132745950421556	15.116207410481529	0.8925600647926331	0.9036806225776672																	-2.930717058699167	-3.058959949267193	-4.0124016	-4.19518	0.0	-3.9323877571667465	-3.817957800550249	-5.668674	-5.508898	0.0	-1.7078301857055305	-0.9620016646479455	-2.4814653	-1.4067229	-4.0455287597059195	-4.045548934592656	-5.460217	-5.3985453
K0069	td	15.329709716755891	15.066519173319364	15.198114445037628	0.9135804176330566	0.9653368592262268																	-3.7081287841801553	-3.6449000770813162	-4.5834494	-4.557375	0.0	-5.0356520873036485	-4.724953770335492	-5.7731915	-5.4171968	0.0	-1.306717691991601	-0.8651083649665386	-2.3610597	-1.9604255	-2.230831260889828	-1.39883149491656	-2.6059966	-1.6105223
K0070	td	15.132745950421556	15.1657508881031	15.149248419262328	0.9242250919342041	0.9493403434753418																	-4.265619622677876	-4.124815490973422	-6.6103377	-6.617813	0.0	-4.183207701955329	-4.049140579368648	-5.308621	-5.212491	0.0	-2.9778403964038183	-2.5663764126716693	-4.5371075	-4.2552037	-3.0021881849087366	-1.9554123324959676	-3.8817434	-2.5996637
K0071	td	15.811388300841896	15.748015748023622	15.779702024432758	0.9575732350349426	0.9598565101623535																	-3.7209095553456724	-3.504450507348472	-5.084311	-4.6602964	0.0	-6.597484721111496	-6.614238988589647	-7.542495	-7.551948	0.0	-2.356808514681729	-1.9615686491873339	-4.170575	-3.4817336	-5.6711626548890015	-4.919487688768229	-6.4365306	-5.5701575
K0072	td	15.7797338380595	15.620499351813308	15.700116594936404	0.973494827747345	0.9529450535774231																	-5.109874829452464	-5.054662936985943	-6.047586	-5.962625	0.0	-4.514800121597791	-4.200738846620561	-6.527575	-6.095229	0.0	-2.940351551172922	-2.3849270368140765	-3.632346	-3.0047147	-1.5846015104371531	-1.0971062607267101	-2.317539	-1.579389
K0075	td	15.459624833740309	15.556349186104043	15.507987009922175	0.9480212926864624	0.9056082963943481																	-1.1904634953424795	-0.29329605334897424	-1.4656527	-0.40812826	0.0	-3.2458271602363507	-3.135236899750231	-3.7897174	-3.6397398	0.0	-0.8318432625935912	0.8447252468979246	-0.95737445	1.0210124	-0.8666702862265092	0.4027918668170708	-1.745349	-0.1040361
Z201	td	15.652475842498529	15.588457268119896	15.620466555309212	0.933691680431366	0.9293957948684692																	-3.819532845593237	-3.8191433955560883	-4.88992	-4.8693795	0.0	-2.9254564167902513	-2.9195055466668474	-3.8400888	-3.498014	0.0	-1.2135085822548057	-0.8350096221392053	-1.6003292	-1.0390546	-2.7968529028163633	-1.7858918637147048	-3.4692845	-2.1935189
